axiom,dataset,preference_zero,preference_eq_orig,preference_neq_orig,consistency
TFC1,TREC 2019 DL,52692,3681,2834,78
TFC3,TREC 2019 DL,59185,16,6,
M-TDC,TREC 2019 DL,58963,124,120,
LNC1,TREC 2019 DL,57239,1106,862,
TF-LNC,TREC 2019 DL,56298,1594,1315,
LB1,TREC 2019 DL,45773,8444,4990,78
REG,TREC 2019 DL,7524,26587,25096,76
AND,TREC 2019 DL,46165,9076,3966,81
DIV,TREC 2019 DL,2528,24783,31896,73
STMC1,TREC 2019 DL,347,31820,27040,76
STMC2,TREC 2019 DL,51904,4081,3222,
PROX1,TREC 2019 DL,30059,17035,12113,79
PROX2,TREC 2019 DL,28401,18054,12752,80
PROX3,TREC 2019 DL,56610,1675,922,
PROX4,TREC 2019 DL,43212,9591,6404,
PROX5,TREC 2019 DL,40258,10565,8384,
ArgUC,TREC 2019 DL,51316,4145,3746,75
QTArg,TREC 2019 DL,52538,4192,2477,81
QTPArg,TREC 2019 DL,50710,5001,3496,
aSL,TREC 2019 DL,54105,2649,2453,
TFC1,TREC 2020 DL,104568,8582,6406,69
TFC3,TREC 2020 DL,119473,69,14,
M-TDC,TREC 2020 DL,119188,204,164,
LNC1,TREC 2020 DL,115659,2131,1766,
TF-LNC,TREC 2020 DL,112730,3684,3142,
LB1,TREC 2020 DL,86437,20499,12620,72
REG,TREC 2020 DL,22273,52659,44624,71
AND,TREC 2020 DL,93102,19119,7335,80
DIV,TREC 2020 DL,4124,47922,67510,66
STMC1,TREC 2020 DL,674,65157,53725,71
STMC2,TREC 2020 DL,104647,7760,7149,
PROX1,TREC 2020 DL,69860,28647,21049,76
PROX2,TREC 2020 DL,67369,30383,21804,78
PROX3,TREC 2020 DL,116254,1992,1310,
PROX4,TREC 2020 DL,94600,14678,10278,
PROX5,TREC 2020 DL,91564,15587,12405,
ArgUC,TREC 2020 DL,100771,9890,8895,71
QTArg,TREC 2020 DL,103448,9705,6403,73
QTPArg,TREC 2020 DL,99778,11919,7859,
aSL,TREC 2020 DL,107544,6343,5669,
